#{"t_start": 1666814621.1547022, "env_id": null}
r,l,t
-1519.997478,160,1533.672145
-5179.997435,526,1537.476701
-7689.997788,777,1543.097899
-4549.997974,463,1546.421754
-2319.997543,240,1548.120045
-5659.998089,573,1552.245664
-4179.997406,426,1555.349558
-1549.997392,163,1556.567528
-3669.997692,375,1559.289891
-4279.997759,436,1562.475409
-8409.997701,849,1568.653921
-6219.997723,630,1573.260381
-7119.997983,719,1578.48548
-629.996607,72,1579.023216
-39.996509,12,1579.120931
-1039.996805,113,1579.951485
-939.997045,102,1580.673552
-3509.997139,359,1583.373418
-6669.997596,675,1588.235884
-2159.996504,224,1589.810689
-3099.996982,318,1592.109124
-69.996663,16,1592.223478
-3279.996615,337,1594.655069
-409.99661,49,1595.013975
-5649.996756,573,1599.12794
-7139.997469,722,1604.349118
-3329.996741,341,1606.838473
-459.997201,54,1607.239412
-7289.997049,737,1612.545651
-689.996866,77,1613.099498
-1359.997205,144,1614.230187
-99.996479,18,1614.356138
-2439.996821,252,1616.178511
-809.997081,89,1616.835425
-509.996585,59,1617.265988
-309.996539,40,1617.573166
-1809.996711,190,1618.949003
-2649.996808,274,1620.889522
-1309.996576,140,1621.912674
-1069.996967,115,1622.77196
-829.996756,91,1623.435879
-2169.996613,225,1625.105006
-509.99804,57,1625.526567
-399.997116,48,1625.888767
-2559.996841,264,1627.802813
-1519.996386,160,1628.997323
-1949.996858,203,1630.485623
-549.996797,64,1630.956012
-1379.996984,146,1632.033693
-2459.996718,255,1633.858935
-1239.996999,132,1634.833705
-29.997007,11,1634.932317
-39.996908,12,1635.020262
-39.99689,12,1635.116563
-59.996929,14,1635.227669
-29.996917,11,1635.30653
-39.997096,12,1635.404547
-29.996944,11,1635.491596
-9.997047,9,1635.571817
-69.997002,15,1635.679991
-19.996833,10,1635.761591
-1519.997211,160,1636.968132
-1359.997026,145,1638.061019
-39.997006,12,1638.151388
-9.997016,9,1638.218403
-49.997014,13,1638.318102
-29.996943,11,1638.407187
-49.996883,13,1638.496821
-9.99699,9,1638.569495
-19.996894,10,1638.649682
-49.996989,13,1638.748612
-49.997054,13,1638.848307
-49.996933,13,1638.947051
-29.996791,11,1639.037859
-29.997065,11,1639.125539
-29.997092,11,1639.212621
-19.997094,10,1639.293485
0.002694,8,1639.35877
-29.996809,11,1639.445228
-49.996894,13,1639.549824
-49.997012,13,1639.644134
-49.997066,13,1639.740636
-19.996833,10,1639.824905
-29.996981,11,1639.910875
-19.996989,10,1639.992163
0.003056,8,1640.071594
-19.997166,10,1640.148108
-9.99691,9,1640.218975
-19.996952,10,1640.301233
-39.996916,12,1640.398381
-19.996847,10,1640.477566
-39.997036,12,1640.568668
-49.996978,13,1640.665447
-49.996939,13,1640.763935
-19.996968,10,1640.847556
-49.996844,13,1640.951897
-29.996967,11,1641.051521
-49.997018,13,1641.147084
-29.996834,11,1641.233374
-19.997026,10,1641.317523
-19.996902,10,1641.397761
-59.996951,14,1641.503178
0.003041,8,1641.568671
-39.997038,12,1641.664159
-49.996862,13,1641.762979
0.002994,8,1641.833694
0.003134,8,1641.896825
-19.996841,10,1641.969823
-89.996884,17,1642.105693
-19.9969,10,1642.18696
-29.997078,11,1642.273603
-59.997135,14,1642.380146
-19.997154,10,1642.45458
-39.997011,12,1642.556093
-39.997058,12,1642.658768
-9.997004,9,1642.728181
-59.996949,14,1642.838485
-59.997054,14,1642.947269
-29.996834,11,1643.034429
0.002858,8,1643.105113
-9.997046,9,1643.184721
-19.996818,10,1643.258479
-79.996974,16,1643.380347
-29.99695,11,1643.468011
-19.997299,10,1643.540502
0.003076,8,1643.606309
-49.99687,13,1643.773506
-39.99697,12,1643.874101
-19.997214,10,1644.009751
-49.996996,13,1644.118033
-19.996991,10,1644.196661
0.003006,8,1644.260147
-79.997073,16,1644.376988
-19.997124,10,1644.459502
0.002993,8,1644.521775
-39.99698,12,1644.620551
-59.996952,14,1644.728182
-29.997009,11,1644.814248
-29.996919,11,1644.903907
-39.997109,12,1645.000061
-1619.997219,170,1646.270142
-59.997096,14,1646.369503
-49.996902,13,1646.471897
-39.99686,12,1646.568247
-19.996904,10,1646.639385
-39.997022,12,1646.733332
-49.996943,13,1646.834842
-49.996996,13,1646.927862
-9.996927,9,1647.002028
-29.997004,11,1647.086914
0.003183,8,1647.165662
-59.99706,14,1647.265865
-9.996955,9,1647.338316
-189.997032,27,1647.5374
-59.997192,14,1647.648378
-39.997076,12,1647.732503
-29.99693,11,1647.818918
-39.996992,12,1647.907243
-19.996944,10,1647.984563
-49.996824,13,1648.082498
-19.99678,11,1648.170885
-39.997003,12,1648.265873
-89.996885,17,1648.393584
-9.996981,9,1648.45854
-9.996943,9,1648.529398
0.002991,8,1648.591175
-19.997011,10,1648.671432
-19.99685,10,1648.750502
-29.996879,11,1648.830521
-9.996972,9,1648.90637
-9.99696,9,1648.977052
-19.99693,10,1649.046444
-39.997071,12,1649.136971
-39.99679,12,1649.244824
-19.997151,10,1649.328082
-1399.997271,148,1650.38184
-2139.997588,222,1652.052821
-59.996786,14,1652.15537
-19.996932,10,1652.229349
-29.996893,11,1652.32358
-29.996937,11,1652.40523
-49.996978,13,1652.498456
-29.996989,11,1652.593279
-59.997056,14,1652.688453
-29.996875,11,1652.773987
-9.99695,9,1652.845206
-39.996921,12,1652.946609
-9.996992,9,1653.024448
-9.996956,9,1653.106816
-69.996816,15,1653.227234
-59.997107,14,1653.33574
0.003075,8,1653.393134
-9.996873,9,1653.463986
-19.997069,10,1653.540137
-29.996899,11,1653.639389
-9.997018,9,1653.709501
-19.997043,10,1653.787764
-29.996991,11,1653.873379
-49.997013,13,1653.970876
-19.996995,10,1654.0515
-49.996984,13,1654.154718
0.003088,8,1654.223788
0.003109,8,1654.289776
-19.996934,10,1654.386177
-29.996901,11,1654.476527
0.002995,8,1654.546888
-39.997014,12,1654.638692
-29.997113,11,1654.724361
-89.997094,17,1654.850475
0.0031,8,1654.908244
-29.996905,11,1654.998721
-19.996968,10,1655.081971
-289.997405,37,1655.358675
-289.997103,37,1655.634895
-619.996983,70,1656.156218
-4259.996967,434,1659.2891
-149.997011,23,1659.470897
-499.997278,59,1659.902223
-759.997335,84,1660.534666
-1209.997187,129,1661.478331
-2669.997152,275,1663.475593
-19.996949,10,1663.555036
-69.996916,15,1663.668139
-49.996973,13,1663.766848
-49.996882,13,1663.868299
-29.996881,11,1663.960777
-49.997051,13,1664.062763
-19.997053,10,1664.136446
-19.996893,10,1664.212459
-19.996921,10,1664.293482
