#{"t_start": 1667320887.616259, "env_id": null}
r,l,t
-173.0,24,529.755006
-133.0,20,529.899871
-43.0,11,529.980478
-53.40483,12,530.062762
-133.0,20,530.21104
-93.0,16,530.323019
-93.738645,18,530.46978
-93.0,16,530.581801
-1274.746428,135,531.482494
-293.0,36,531.716265
-103.0,17,531.848577
-871.490102,96,532.494008
-93.0,16,532.602591
-143.554746,21,532.745062
-243.0,31,532.962986
-83.0,15,533.063116
-103.0,17,533.181993
-143.0,21,533.328831
-103.257283,17,533.445037
-133.0,20,533.580485
-92.634416,18,533.711384
-123.0,19,533.845577
-303.400347,37,534.093401
-193.0,26,534.269754
-133.0,20,534.406294
-93.406371,16,534.516939
-53.0,12,534.606527
-83.437179,15,534.714619
-113.0,18,534.845619
-233.0,30,535.044078
-273.527586,34,535.28806
-33.0,10,535.359118
-362.878732,45,535.664567
-283.887753,37,535.92442
-213.0,28,536.120337
-73.0,14,536.217603
-203.745875,29,536.424754
-232.393893,31,536.660106
-193.0,26,536.863608
-133.0,20,537.007364
-73.296232,14,537.111322
-143.0,21,537.266628
-263.0,33,537.569918
-103.0,17,537.687153
-143.390742,23,537.861886
-303.51424,37,538.116578
-172.175288,26,538.298625
-53.0,12,538.384434
-93.0,16,538.492006
-194.102647,28,538.687372
-684.142232,77,539.215363
-133.0,20,539.35018
-154.990394,24,539.515775
-194.361321,28,539.719643
-204.976229,29,539.936553
-133.0,20,540.074299
-53.320634,14,540.179133
-93.0,16,540.296495
-263.0,33,540.53685
-43.0,11,540.615482
-193.0,26,540.790808
-284.817116,37,541.044661
-13.280434,8,541.10415
-153.0,22,541.268705
-163.0,23,541.426144
-83.0,15,541.533992
-162.190937,24,541.701285
-243.0,31,541.915209
-193.512081,28,542.109192
-233.0,30,542.315124
-153.244312,22,542.465692
-173.0,24,542.62566
-323.0,39,542.884964
-253.0,32,543.112842
-231.770226,32,543.334486
-193.597155,28,543.523166
-264.340847,35,543.755718
-144.349424,23,543.91218
-234.29194,32,544.140359
-434.025348,52,544.557839
-273.8646,36,544.794606
-374.071392,46,545.110734
-282.676558,36,545.357006
-93.287568,16,545.465979
-223.0,29,545.66475
-322.921642,40,545.934287
-343.0,41,546.237924
-93.0,16,546.35093
-153.0,22,546.501683
-93.217457,16,546.609399
-43.0,11,546.689148
-253.0,32,546.904984
-183.0,25,547.086946
-52.543942,14,547.19336
-223.0,29,547.415583
-113.0,18,547.544993
-213.183858,28,547.738387
-143.0,21,547.885897
-262.393179,34,548.150373
-143.49783,21,548.298914
-63.0,13,548.395887
-213.0,28,548.585995
-183.0,25,548.765152
-83.120681,15,548.873807
-93.293114,16,548.985427
-23.0,9,549.045593
-133.153001,20,549.199815
-243.875424,31,549.419025
-103.0,17,549.535694
-332.881649,42,549.819545
-33.344164,10,549.899107
-182.519331,26,550.078245
-333.0,40,550.346513
-271.773573,36,550.595383
-183.139989,27,550.781094
-104.650822,19,550.923014
-172.535344,26,551.107622
-1213.044452,130,552.059435
-173.846036,26,552.267308
-63.0,13,552.359462
-1042.393927,113,553.121655
-203.104909,27,553.314838
-172.956405,26,553.494754
-203.150174,27,553.672518
-123.0,19,553.807503
-104.100577,19,553.936043
-172.915473,25,554.116029
-183.88579,27,554.307633
-103.0,17,554.426327
-114.283202,20,554.564809
-93.0,16,554.67815
-23.0,9,554.742445
-163.0,23,554.905961
-133.0,20,555.041985
-123.0,19,555.189498
-313.0,38,555.450634
-103.0,17,555.566084
-73.370624,14,555.670473
-223.296592,29,555.86974
-833.042961,92,556.521388
-173.0,24,556.678276
-143.0,21,556.822928
-113.0,18,556.955117
-233.674951,30,557.167952
-253.0,32,557.396633
-173.0,24,557.563413
-23.0,9,557.637051
-152.383786,23,557.78868
-53.0,12,557.883765
-223.0,29,558.077647
-163.122111,23,558.24816
-143.0,21,558.400547
-93.0,16,558.516873
-43.0,11,558.601757
-274.542082,36,558.851019
-2374.351311,246,560.528887
-733.16422,81,561.095317
-612.671711,69,561.579247
-294.111852,38,561.836791
-191.690351,28,562.019073
-604.626642,69,562.498765
-684.26791,77,563.008645
-204.096872,29,563.210592
-73.216871,15,563.319419
-293.592635,38,563.595748
-164.302056,25,563.763205
-283.205576,37,564.015764
-174.283892,26,564.193881
-25.083344,11,564.279317
-83.418953,16,564.396473
-74.365997,16,564.519062
-114.396215,20,564.651458
-174.302327,26,564.830431
-214.300231,30,565.031538
-114.316151,20,565.181093
-124.471467,21,565.34005
-14.354072,10,565.421809
-153.5121,24,565.59373
-154.384416,24,565.759637
-214.307969,30,565.979778
-244.286897,33,566.200965
-494.045097,58,566.623633
-824.122498,91,567.2527
-234.298991,32,567.498091
-224.276014,31,567.715997
-204.091829,29,567.912393
-184.315595,27,568.104244
-343.390171,43,568.396061
-231.745118,32,568.628793
-112.66451,20,568.764914
-374.361495,46,569.076211
-144.407552,23,569.235417
-134.397675,22,569.394125
-294.360487,38,569.660464
-104.175066,19,569.797664
-124.304549,21,569.944993
-194.312709,28,570.136367
-133.202301,22,570.305932
-94.317192,18,570.433305
-154.179527,24,570.606752
-84.006668,17,570.723686
-143.32132,22,570.888254
-104.292833,19,571.020852
-94.322823,18,571.147402
-194.318875,28,571.347529
-154.367868,24,571.532853
-202.803684,29,571.730647
-133.657336,22,571.886314
-174.334176,26,572.05991
-24.138254,11,572.145154
-284.295884,37,572.404371
-104.36617,19,572.53953
-154.310054,24,572.707608
-174.094517,26,572.888081
-53.92203,14,572.992359
-104.138663,19,573.119968
-244.285908,33,573.340008
-134.339031,22,573.492931
-213.091914,29,573.696763
-94.297201,18,573.816885
-84.684275,17,573.942766
-173.153368,26,574.1184
-264.218965,35,574.367091
-594.288775,68,574.845203
-114.297771,20,574.989756
-244.356825,33,575.227298
-85.056911,17,575.356114
-173.848702,26,575.540412
-294.13606,38,575.805984
-234.339878,32,576.026194
-234.249695,32,576.246162
-164.31686,25,576.416251
-74.334939,16,576.53221
-234.111989,32,576.756865
-1124.274075,121,577.581603
-784.349214,87,578.171042
-154.302894,24,578.339215
-214.305143,30,578.546905
-254.381507,34,578.78798
-154.314597,24,578.951904
-113.650594,19,579.081752
-222.3293,31,579.297535
-174.313631,26,579.481969
-373.039515,46,579.812279
-144.265844,23,579.969739
-134.307017,22,580.125067
-134.337808,22,580.289413
-244.346557,33,580.524603
-202.92693,29,580.721489
-114.344349,20,580.859364
-264.278888,35,581.101483
-203.669782,29,581.293635
-154.363048,24,581.599448
-224.351926,31,581.832114
-233.357655,31,582.048579
-223.642416,31,582.255419
-202.736827,29,582.449838
-434.532952,52,582.801622
-144.966999,23,582.968398
-213.958674,30,583.177711
-223.974501,31,583.397618
-134.106263,22,583.554673
-294.155053,38,583.822433
